"","...1","Name","Season","Stat","Actual","Predicted","diff","Actual_Percentile","Predicted_Percentile"
"1",285,"Joc Pederson",2021,"Next_xwOBA",0.367,0.41794753,0.05094753074646,96,75
"2",286,"Alex Kirilloff",2021,"Next_xwOBA",0.278,0.41366473,0.135664728403091,21,71
"3",287,"Curt Casali",2021,"Next_xwOBA",0.289,0.36193195,0.0729319498538971,33,13
"4",288,"Nick Gordon",2021,"Next_xwOBA",0.333,0.38987446,0.0568744583129883,76,43
"5",289,"Martin Maldonado",2021,"Next_xwOBA",0.253,0.37455273,0.121552726745605,7,26
"6",290,"Yadiel Hernandez",2021,"Next_xwOBA",0.313,0.38848624,0.075486236333847,57,41
"7",291,"Kyle Garlick",2021,"Next_xwOBA",0.305,0.3850294,0.0800294053554535,50,37
"8",292,"Austin Hedges",2021,"Next_xwOBA",0.238,0.33945882,0.101458823204041,3,2
"9",293,"James McCann",2021,"Next_xwOBA",0.309,0.37218225,0.0631822500228882,54,23
"10",294,"Taylor Walls",2021,"Next_xwOBA",0.268,0.37687263,0.108872628927231,13,28
"11",295,"Hanser Alberto",2021,"Next_xwOBA",0.234,0.3760268,0.142026809215546,2,28
"12",296,"Ernie Clement",2021,"Next_xwOBA",0.277,0.3675737,0.0905737082958221,20,20
"13",297,"Rob Refsnyder",2021,"Next_xwOBA",0.374,0.3909764,0.0169763991832733,97,45
"14",298,"Jorge Mateo",2021,"Next_xwOBA",0.272,0.35308677,0.081086769580841,16,6
"15",299,"Abraham Toro",2021,"Next_xwOBA",0.284,0.40030056,0.116300562381744,27,57
"16",300,"Christian Walker",2021,"Next_xwOBA",0.359,0.39345437,0.034454372882843,93,48
"17",301,"Josh Naylor",2021,"Next_xwOBA",0.327,0.3944602,0.0674602012634277,72,50
"18",302,"Luis Torrens",2021,"Next_xwOBA",0.284,0.40567046,0.121670464038849,27,61
"19",303,"Eloy Jimenez",2021,"Next_xwOBA",0.365,0.3900205,0.025020489692688,95,44
"20",304,"Kevin Plawecki",2021,"Next_xwOBA",0.268,0.39031383,0.12231383395195,13,44
"21",305,"Ha-seong Kim",2021,"Next_xwOBA",0.309,0.36362553,0.0546255264282227,54,15
"22",306,"Aaron Hicks",2021,"Next_xwOBA",0.303,0.38832742,0.085327419757843,48,41
"23",307,"Anthony Rendon",2021,"Next_xwOBA",0.331,0.40107903,0.0700790288448334,75,57
"24",308,"Miguel Andujar",2021,"Next_xwOBA",0.281,0.36384642,0.0828464212417602,24,16
"25",309,"D.J. Stewart",2021,"Next_xwOBA",0.339,0.3840643,0.0450642869472503,81,35
"26",310,"Eugenio Suarez",2021,"Next_xwOBA",0.339,0.42600116,0.0870011613368988,81,82
"27",311,"Riley Adams",2021,"Next_xwOBA",0.274,0.3792489,0.105248887300491,17,30
"28",312,"Ryan McKenna",2021,"Next_xwOBA",0.267,0.36408597,0.0970859723091125,11,16
